host,date_time,time_zone,endpoint,status_code,size_returned
in24.inetnebr.com,01/Aug/1995:00:00:01,400,/shuttle/missions/sts-68/news/sts-68-mcc-05.txt,200,1839
uplherc.upl.com,01/Aug/1995:00:00:07,400,/,304,0
uplherc.upl.com,01/Aug/1995:00:00:08,400,/images/MOSAIC-logosmall.gif,304,0
piweba4y.prodigy.com,01/Aug/1995:00:00:10,400,/images/launchmedium.gif,200,11853
slppp6.intermind.net,01/Aug/1995:00:00:13,400,/history/apollo/images/apollo-logo.gif,200,3047
kgtyk4.kj.yamagata-u.ac.jp,01/Aug/1995:00:00:17,400,/,200,7280
133.43.96.45,01/Aug/1995:00:00:22,400,/images/KSC-logosmall.gif,200,1204
www-c8.proxy.aol.com,01/Aug/1995:00:00:24,400,/shuttle/countdown/,200,4324
ix-esc-ca2-07.ix.netcom.com,01/Aug/1995:00:00:25,400,/shuttle/resources/orbiters/discovery-logo.gif,200,4179
ix-esc-ca2-07.ix.netcom.com,01/Aug/1995:00:00:39,400,/shuttle/resources/orbiters/orbiters-logo.gif,200,1932
133.43.96.45,01/Aug/1995:00:00:51,400,/shuttle/resources/orbiters/orbiters-logo.gif,200,1932
uplherc.upl.com,01/Aug/1995:00:00:56,400,/shuttle/resources/orbiters/atlantis-logo.gif,200,4179
uplherc.upl.com,01/Aug/1995:00:01:13,400,/shuttle/resources/orbiters/challenger.html,200,8089
ip-pdx6-54.teleport.com,01/Aug/1995:00:01:17,400,/history/history.html,200,1602
uplherc.upl.com,01/Aug/1995:00:01:18,400,/history/apollo/apollo-17/apollo-17-patch-small.gif,200,14977
www-d3.proxy.aol.com,01/Aug/1995:00:01:28,400,/images/MOSAIC-logosmall.gif,200,363
piweba4y.prodigy.com,01/Aug/1995:00:01:37,400,/history/apollo/images/apollo-small.gif,200,9630
133.68.18.180,01/Aug/1995:00:01:48,400,/persons/nasa-cm/jmd.html,200,4067
ip-pdx6-54.teleport.com,01/Aug/1995:00:01:48,400,/history/apollo/apollo.html,200,3260
133.68.18.180,01/Aug/1995:00:01:49,400,/persons/nasa-cm/jmd.gif,200,17866
205.163.36.61,01/Aug/1995:00:01:57,400,/shuttle/countdown/count70.gif,304,0
205.163.36.61,01/Aug/1995:00:02:01,400,/images/NASA-logosmall.gif,304,0
haraway.ucet.ufl.edu,01/Aug/1995:00:02:05,400,/images/rss.gif,200,283389
rpgopher.aist.go.jp,01/Aug/1995:00:02:05,400,/images/WORLD-logosmall.gif,304,0
