name,lat,lon,alt,tz,tzone
"Lansdowne Airport",41.1304722,-80.6195833,1044,-5,America/New_York
"Moton Field Municipal Airport",32.4605722,-85.6800278,264,-6,America/Chicago
"Schaumburg Regional",41.9893408,-88.1012428,801,-6,America/Chicago
"Randall Airport",41.431912,-74.3915611,523,-5,America/New_York
"Jekyll Island Airport",31.0744722,-81.4277778,11,-5,America/New_York
"Elizabethton Municipal Airport",36.3712222,-82.1734167,1593,-5,America/New_York
"Williams County Airport",41.4673056,-84.5067778,730,-5,America/New_York
"Finger Lakes Regional Airport",42.8835647,-76.7812318,492,-5,America/New_York
"Shoestring Aviation Airfield",39.7948244,-76.6471914,1000,-5,America/New_York
"Jefferson County Intl",48.0538086,-122.8106436,108,-8,America/Los_Angeles
"Harford County Airport",39.5668378,-76.2024028,409,-5,America/New_York
"Galt Field Airport",42.4028889,-88.3751111,875,-6,America/Chicago
"Port Bucyrus-Crawford County Airport",40.7815556,-82.9748056,1003,-5,America/New_York
"Jackson County Airport",34.1758638,-83.5615972,951,-5,America/New_York
"Martin Campbell Field Airport",35.0158056,-84.3468333,1789,-5,America/New_York
"Mansfield Municipal",42.0001331,-71.1967714,122,-5,America/New_York
"Frazier Lake Airpark",54.0133333333333,-124.768333333333,152,-8,America/Vancouver
"Clow International Airport",41.6959744,-88.1292306,670,-6,America/Chicago
"Kent State Airport",41.1513889,-81.4151111,1134,-5,America/New_York
"Grand Canyon West Airport",35.899904,-113.815674,4813,-7,America/Phoenix
"Effingham Memorial Airport",39.07,-88.534,585,-6,America/Chicago
"Fortman Airport",40.5553253,-84.3866186,885,-5,America/New_York
"Point Roberts Airpark",48.9797222,-123.0788889,10,-8,America/Los_Angeles
"Clarke CO",32.0517,-88.4434,320,-6,America/Chicago
"Lowell City Airport",42.95392,-85.3439058,681,-5,America/New_York
"Suwannee County Airport",30.300125,-83.0246944,104,-5,America/New_York
"Forest Lake Airport",45.2477456,-92.9943853,925,-6,America/Chicago
"Grove City Airport",41.1460278,-80.16775,1371,-5,America/New_York
"Mark Anton Airport",35.48625,-84.9310833,718,-5,America/New_York
"Plum Island Airport",42.7953611,-70.8394444,11,-5,America/New_York
"Jefferson County Airpark",40.3602179,-80.7008742,1196,-5,America/New_York
"Somerset County Airport",40.0388708,-79.0149951,2275,-5,America/New_York
"Shelby County Airport",39.410556,-88.845556,550,-6,America/Chicago
"Quincy Municipal Airport",30.5978708,-84.557425,225,-5,America/New_York
"Atmautluak Airport",60.866667,-162.273056,18,-9,America/Anchorage
"Heber City Municipal Airport",40.4818056,-111.4288056,5637,-7,America/Denver
"Lynden Airport",48.9558961,-122.4581183,106,-8,America/Los_Angeles
"Ephraim-Gibraltar Airport",45.1354167,-87.1879444,773,-6,America/Chicago
"Wadsworth Municipal",41.0031572,-81.7564401,974,-5,America/New_York
"Ashland County Airport",40.9029722,-82.2556389,1206,-5,America/New_York
"Ridgeland Airport",32.4934167,-80.99175,79,-5,America/New_York
"Put-in-Bay Airport",41.3521,-82.497,595,-5,America/New_York
"Perry-Foley Airport",30.0692778,-83.5805833,44,-5,America/New_York
"Braceville Airport",41.2111675,-80.9692572,900,-5,America/New_York
"Cherokee County Airport",34.3122175,-84.4221556,1219,-5,America/New_York
"Gilmer County Airport",34.6282222,-84.5265833,1486,-5,America/New_York
"Chemehuevi Valley",34.528889,-114.431971,638,-8,America/Los_Angeles
"Polk County Airport - Cornelius Moore Field",34.0186944,-85.1464722,974,-5,America/New_York
"Clayton County Tara Field",33.389099,-84.332397,874,-5,America/New_York
"Isbell Field Airport",34.4736944,-85.7213889,877,-6,America/Chicago
"Robertson Field",41.6893333,-72.8646944,202,-5,America/New_York
"Pittsburgh-Monroeville Airport",40.4526389,-79.7749167,1187,-5,America/New_York
"Hamburg Inc Airport",42.7008925,-78.9147569,751,-5,America/New_York
"Youngstown Elser Metro Airport",40.9617953,-80.6773264,1070,-5,America/New_York
"Putnam County Airport",39.6335556,-86.8138056,842,-5,America/New_York
"Dell Flight Strip",44.7357483,-112.7200133,6007,-7,America/Denver
"Madison GA Municipal Airport",33.612125,-83.4604444,694,-5,America/New_York
"DeFuniak Springs Airport",30.7311111,-86.1537778,289,-6,America/Chicago
"Fernandina Beach Municipal Airport",30.6118333,-81.4611944,16,-5,America/New_York
Packwood,46.3625,-121.4067,1057,-8,America/Los_Angeles
"East Troy Municipal Airport",42.7971667,-88.3726111,860,-6,America/Chicago
"Saratoga County Airport",43.050722,-73.861638,433,-5,America/New_York
"Ocean Isle Beach Airport",33.9085056,-78.4366722,32,-5,America/New_York
"Griffin-Spalding County Airport",33.2269722,-84.2749444,958,-5,America/New_York
"Saluda County",33.5561,-81.4768,539,-5,America/New_York
"Tok Junction Airport",63.329444,-142.953611,1639,-9,America/Anchorage
"Big Timber Airport",45.8063889,-109.9811111,4492,-7,America/Denver
Florence,43.9828168,-124.1113687,51,-8,America/Los_Angeles
"Welke Airport",45.721111,-85.520278,664,-5,America/New_York
"Cairo-Grady County Airport",30.8879767,-84.1547353,265,-5,America/New_York
"Spring Hill Airport",41.3473569,-75.4158972,1729,-5,America/New_York
"Foster Field",42.4664444,-90.1693889,990,-6,America/Chicago
"Germack Airport",41.7778322,-80.9039797,820,-5,America/New_York
"Spitfire Aerodrome",39.7355633,-75.3977211,40,-5,America/New_York
"Garland Airport",44.8065278,-84.2761944,1218,-5,America/New_York
"Richland Airport",43.2833575,-90.2982819,742,-6,America/Chicago
"Bamberg County Airport",33.3045278,-81.1084167,231,-5,America/New_York
"Covington Municipal Airport",33.6323083,-83.8474472,809,-5,America/New_York
"Barwick Lafayette Airport",34.6884792,-85.2903319,777,-5,America/New_York
"Rock Airport",40.6035463,-79.8261189,1063,-5,America/New_York
"Phoenix Regional Airport",32.99169921875,-111.920997619629,1300,-7,America/Phoenix
"Colorado Springs East",38.87,-104.41,6145,-7,America/Denver
"Apalachicola Regional Airport",29.7276066,-85.0274416,20,-5,America/New_York
"Andrau Airport",29.43,-95.35,80,-6,America/Chicago
"Lehigh Valley Intl",40.652083,-75.440806,393,-5,America/New_York
"Abilene Rgnl",32.411319,-99.681897,1791,-6,America/Chicago
"Ambler Airport",67.106389,-157.8575,334,-9,America/Anchorage
"Albuquerque International Sunport",35.0402222,-106.6091944,5355,-7,America/Denver
"Aberdeen Regional Airport",45.4491,-98.4218,1302,-6,America/Chicago
"Southwest Georgia Regional Airport",31.5355,-84.1945,197,-5,America/New_York
"Jimmy Carter Regional",32.0665,-84.1133,468,-5,America/New_York
"Nantucket Mem",41.253053,-70.060181,48,-5,America/New_York
"Waco Rgnl",31.611289,-97.230519,516,-6,America/Chicago
Arcata,40.978111,-124.108611,221,-8,America/Los_Angeles
"Atlantic City Intl",39.457583,-74.577167,75,-5,America/New_York
"Adak Airport",51.878,-176.646,18,-9,America/Anchorage
"Ardmore Muni",34.300833,-97.008889,762,-6,America/Chicago
Kodiak,57.749967,-152.493856,78,-9,America/Anchorage
Addison,32.9685594,-96.8364478,644,-6,America/Chicago
"Andrews Afb",38.810806,-76.867028,280,-5,America/New_York
"Allakaket Airport",66.5519,-152.6222,441,-9,America/Anchorage
"Alexandria Intl",31.3274,-92.549833,89,-6,America/Chicago
"Kake Airport",56.961389,-133.910278,172,-9,America/Anchorage
"Fort Worth Alliance Airport",32.987778,-97.318889,722,-6,America/Chicago
"Allegheny County Airport",40.3544,-79.9302,1252,-5,America/New_York
"Angoon Seaplane Base",57.503611,-134.585,0,-9,America/Anchorage
"Augusta Rgnl At Bush Fld",33.369944,-81.9645,144,-5,America/New_York
"Athens Ben Epps Airport",33.9486,-83.3263,808,-5,America/New_York
"Alliance Municipal Airport",42.053333,-102.803889,3931,-7,America/Denver
"Municipal Airport",33.6493889,-81.6850278,529,-5,America/New_York
"Wainwright Airport",70.638056,-159.994722,41,-9,America/Anchorage
"Lee C Fine Memorial Airport",38.096035,-92.5494875,869,-6,America/Chicago
"Atka Airport",52.220278,-174.206389,56,-9,America/Anchorage
"Akron Fulton Intl",41.0375,-81.466917,1067,-5,America/New_York
"Akiak Airport",60.902778,-161.230556,30,-9,America/Anchorage
"Akhiok Airport",56.938611,-154.1825,44,-9,America/Anchorage
"King Salmon",58.676778,-156.649278,68,-9,America/Anchorage
"Anaktuvuk Pass Airport",68.1336,-151.743,2103,-9,America/Anchorage
"Albany Intl",42.748267,-73.801692,285,-5,America/New_York
"Alice Intl",27.740889,-98.026944,178,-6,America/Chicago
"Alamogordo White Sands Regional Airport",32.8399,-105.991,4200,-7,America/Denver
"Waterloo Regional Airport",42.5571,-92.4003,873,-6,America/Chicago
"San Luis Valley Regional Airport",37.435,-105.866667,7539,-7,America/Denver
"Walla Walla Regional Airport",46.0949,-118.288,1191,-8,America/Los_Angeles
Alexandria,38.806346,-77.0621,1,-5,America/New_York
"Alitak Seaplane Base",56.899444,-154.247778,0,-9,America/Anchorage
"Rick Husband Amarillo Intl",35.219369,-101.705931,3607,-6,America/Chicago
"Anniston Metro",33.588167,-85.858111,612,-6,America/Chicago
"Ted Stevens Anchorage Intl",61.174361,-149.996361,152,-9,America/Anchorage
"Anderson Rgnl",34.494583,-82.709389,782,-5,America/New_York
"Aniak Airport",61.5816,-159.543,88,-9,America/Anchorage
"Annette Island",55.042436,-131.572233,119,-9,America/Anchorage
"Lee Airport",38.942778,-76.568333,34,-5,America/New_York
"Tri-State Steuben County Airport",41.6396983,-85.0834933,995,-5,America/New_York
"Anvik Airport",62.6467,-160.191,309,-9,America/Anchorage
"Lima Allen County Airport",40.707478,-84.0270781,975,-5,America/New_York
"Altoona Blair Co",40.296372,-78.320022,1504,-5,America/New_York
"Amook Bay Seaplane Base",57.471389,-153.815278,0,-9,America/Anchorage
Centennial,39.570129,-104.849294,5883,-7,America/Denver
"Napa County Airport",38.2131944,-122.2806944,35,-8,America/Los_Angeles
"Naples Muni",26.152619,-81.775294,8,-5,America/New_York
"Phillips Aaf",39.466219,-76.168808,57,-5,America/New_York
"Alpena County Regional Airport",45.0781,-83.5603,689,-5,America/New_York
"Klawock Seaplane Base",55.554658,-133.101693,0,-9,America/Anchorage
"Acadiana Rgnl",30.037758,-91.883896,24,-6,America/Chicago
"Ann Arbor Municipal Airport",42.132274,-83.444418,839,-5,America/New_York
"Arctic Village Airport",68.1147,-145.579,2092,-9,America/Anchorage
"Watertown Intl",43.991922,-76.021739,325,-5,America/New_York
Lakeland,45.927778,-89.730833,1629,-6,America/Chicago
"Aspen Pitkin County Sardy Field",39.2232,-106.869,7820,-7,America/Denver
"Boire Field Airport",42.78175,-71.5147778,199,-5,America/New_York
"Astoria Regional Airport",46.157972,-123.878694,15,-8,America/Los_Angeles
"Atqasuk Edward Burnell Sr Memorial Airport",70.4673,-157.436,96,-9,America/Anchorage
"Hartsfield Jackson Atlanta Intl",33.636719,-84.428067,1026,-5,America/New_York
"Camp Mabry Austin City",30.31666,-97.7666,0,-6,America/Chicago
Appleton,44.257526,-88.507576,680,-6,America/Chicago
"Watertown Regional Airport",44.914,-97.1547,1748,-6,America/Chicago
"Augusta State",44.320647,-69.797317,352,-5,America/New_York
