Hospital Name,Address,City,State,ZIP Code,Hospital 30-Day Death (Mortality) Rates from Heart Attack,Hospital 30-Day Death (Mortality) Rates from Heart Failure,Hospital 30-Day Death (Mortality) Rates from Pneumonia
SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,14.3,11.4,10.9
MARSHALL MEDICAL CENTER SOUTH,2505 U S HIGHWAY 431 NORTH,BOAZ,AL,35957,18.5,15.2,13.9
ELIZA COFFEE MEMORIAL HOSPITAL,205 MARENGO STREET,FLORENCE,AL,35631,18.1,11.3,13.4
MIZELL MEMORIAL HOSPITAL,702 N MAIN ST,OPP,AL,36467,Not Available,13.6,14.9
CRENSHAW COMMUNITY HOSPITAL,101 HOSPITAL CIRCLE,LUVERNE,AL,36049,Not Available,13.8,15.8
MARSHALL MEDICAL CENTER NORTH,8000 ALABAMA HIGHWAY 69,GUNTERSVILLE,AL,35976,Not Available,12.5,8.7
ST VINCENT'S EAST,50 MEDICAL PARK EAST DRIVE,BIRMINGHAM,AL,35235,17.7,10.9,16.2
DEKALB REGIONAL MEDICAL CENTER,200 MED CENTER DRIVE,FORT PAYNE,AL,35968,18,16.6,15.8
SHELBY BAPTIST MEDICAL CENTER,1000 FIRST STREET NORTH,ALABASTER,AL,35007,15.9,13.6,10.7
CALLAHAN EYE FOUNDATION HOSPITAL,1720 UNIVERSITY BLVD,BIRMINGHAM,AL,35233,Not Available,Not Available,Not Available
HELEN KELLER MEMORIAL HOSPITAL,1300 SOUTH MONTGOMERY AVENUE,SHEFFIELD,AL,35660,19.6,12.6,15
DALE MEDICAL CENTER,126 HOSPITAL AVE,OZARK,AL,36360,17.3,11.8,9.9
CHEROKEE MEDICAL CENTER,400 NORTHWOOD DR,CENTRE,AL,35960,Not Available,12.1,14.7
BAPTIST MEDICAL CENTER SOUTH,2105 EAST SOUTH BOULEVARD,MONTGOMERY,AL,36116,17.8,11.8,14.3
JACKSON HOSPITAL & CLINIC INC,1725 PINE STREET,MONTGOMERY,AL,36106,17.5,10.2,14.7
GEORGE H. LANIER MEMORIAL HOSPITAL,4800 48TH ST,VALLEY,AL,36854,15.4,8.8,10.3
ELBA GENERAL HOSPITAL,987 DRAYTON STREET,ELBA,AL,36323,Not Available,Not Available,12
EAST ALABAMA MEDICAL CENTER AND SNF,2000 PEPPERELL PARKWAY,OPELIKA,AL,36801,16.3,12.9,12.1
WEDOWEE HOSPITAL,209 NORTH MAIN STREET,WEDOWEE,AL,36278,Not Available,10.4,13.9
UNIVERSITY OF ALABAMA HOSPITAL,619 SOUTH 19TH STREET,BIRMINGHAM,AL,35233,15,12.5,12.7
COMMUNITY HOSPITAL INC,805 FRIENDSHIP ROAD,TALLASSEE,AL,36078,17.1,12.3,11.6
CULLMAN REGIONAL MEDICAL CENTER,1912 ALABAMA HIGHWAY 157,CULLMAN,AL,35058,17.1,12.1,12.1
ANDALUSIA REGIONAL HOSPITAL,849 SOUTH THREE NOTCH STREET,ANDALUSIA,AL,36420,Not Available,10.1,11.1
STRINGFELLOW MEMORIAL HOSPITAL,301 EAST 18TH ST,ANNISTON,AL,36201,16.4,12,12
HUNTSVILLE HOSPITAL,101 SIVLEY RD,HUNTSVILLE,AL,35801,15.2,12.4,14.1
GADSDEN REGIONAL MEDICAL CENTER,1007 GOODYEAR AVENUE,GADSDEN,AL,35903,16.7,10.7,14.6
CHILTON MEDICAL CENTER,1010 LAY DAM ROAD,CLANTON,AL,35045,Not Available,11.5,11.2
MARION REGIONAL MEDICAL CENTER,1256 MILITARY STREET SOUTH,HAMILTON,AL,35570,Not Available,11.5,10
FAYETTE MEDICAL CENTER,1653 TEMPLE AVENUE NORTH,FAYETTE,AL,35555,16.7,11.7,12.9
RIVERVIEW REGIONAL MEDICAL CENTER,600 SOUTH THIRD STREET,GADSDEN,AL,35901,16.9,10.8,12.7
GEORGIANA HOSPITAL,515 MIRANDA ST,GEORGIANA,AL,36033,14.5,10.8,11.3
MEDICAL CENTER ENTERPRISE,400 N EDWARDS STREET,ENTERPRISE,AL,36330,16.6,12.9,12.9
ST VINCENTS BLOUNT,150 GILBREATH DRIVE,ONEONTA,AL,35121,Not Available,13,15.3
GREENE COUNTY HOSPITAL,509 WILSON AVENUE,EUTAW,AL,35462,Not Available,11.2,11.5
LAKE MARTIN COMMUNITY HOSPITAL,201 MARIARDEN ROAD,DADEVILLE,AL,36853,Not Available,10.9,10.8
PARKWAY MEDICAL CENTER,1874 BELTLINE RD SW,DECATUR,AL,35601,15.8,10.5,11.9
FLOWERS HOSPITAL,4370 WEST MAIN STREET,DOTHAN,AL,36305,15.2,12,11.3
ST VINCENT'S BIRMINGHAM,810 ST VINCENT'S DRIVE,BIRMINGHAM,AL,35205,16.2,10.6,12.6
BIBB MEDICAL CENTER,208 PIERSON AVE,CENTREVILLE,AL,35042,Not Available,14,13.6
LAWRENCE MEDICAL CENTER,202 HOSPITAL STREET,MOULTON,AL,35650,15.6,9.9,9.8
HIGHLANDS MEDICAL CENTER,380 WOODS COVE ROAD,SCOTTSBORO,AL,35768,15,13.4,12.9
WIREGRASS MEDICAL CENTER,1200 W MAPLE AVENUE,GENEVA,AL,36340,Not Available,10.6,12.3
RUSSELL HOSPITAL,3316 HIGHWAY 280,ALEXANDER CITY,AL,35010,17.1,11.6,14.9
FLORALA MEMORIAL HOSPITAL,24273 FIFTH AVENUE,FLORALA,AL,36442,Not Available,10.4,12.1
MEDICAL CENTER BARBOUR,820 W WASHINGTON ST,EUFAULA,AL,36027,Not Available,13.5,15
CLAY COUNTY HOSPITAL,83825 HIGHWAY 9    P O BOX 1270,ASHLAND,AL,36251,16.7,12.6,11.8
NORTHEAST ALABAMA REGIONAL MED CENTER,400 EAST 10TH STREET,ANNISTON,AL,36207,15.6,11.2,13.2
ATHENS-LIMESTONE HOSPITAL,700 WEST MARKET STREET,ATHENS,AL,35611,15,11.7,12.1
SOUTH BALDWIN REGIONAL MEDICAL CENTER,1613 NORTH MCKENZIE STREET,FOLEY,AL,36535,15.8,15.1,9.8
DECATUR GENERAL HOSPITAL,1201 7TH STREET SE,DECATUR,AL,35609,16.8,10.9,11.9
NORTHWEST MEDICAL CENTER,1530 U S HIGHWAY 43,WINFIELD,AL,35594,Not Available,11.8,13.1
UNIV OF SOUTH ALABAMA MEDICAL CENTER,2451 FILLINGIM STREET,MOBILE,AL,36617,Not Available,12.5,Not Available
WALKER BAPTIST MEDICAL CENTER,3400 HIGHWAY 78 EAST,JASPER,AL,35502,17,10.8,11.9
PROVIDENCE HOSPITAL,6801 AIRPORT BOULEVARD,MOBILE,AL,36608,15.2,13.5,10.6
GROVE HILL MEMORIAL HOSPITAL,295 JACKSON HWY S,GROVE HILL,AL,36451,Not Available,10.4,12.1
D C H REGIONAL MEDICAL CENTER,809 UNIVERSITY BOULEVARD EAST,TUSCALOOSA,AL,35401,15.8,11.2,11.3
HALE COUNTY HOSPITAL,508 GREEN STREET,GREENSBORO,AL,36744,Not Available,10.7,11.5
ELMORE COMMUNITY HOSPITAL,500 HOSPITAL DRIVE,WETUMPKA,AL,36092,Not Available,11.3,11.2
D W MCMILLAN MEMORIAL HOSPITAL,1301 BELLEVILLE AVENUE,BREWTON,AL,36426,15.7,14.8,12.6
THOMAS HOSPITAL,750 MORPHY AVENUE,FAIRHOPE,AL,36532,14.7,12.8,13.1
CITIZENS BAPTIST MEDICAL CENTER,604 STONE AVENUE,TALLADEGA,AL,35161,17.3,14.9,12.1
J PAUL JONES HOSPITAL,317 MCWILLIAMS AVENUE,CAMDEN,AL,36726,Not Available,Not Available,11.4
BAPTIST MEDICAL CENTER-PRINCETON,701 PRINCETON AVENUE SOUTHWEST,BIRMINGHAM,AL,35211,14.9,11.4,11.6
TRINITY MEDICAL CENTER,800 MONTCLAIR RD,BIRMINGHAM,AL,35213,16.8,12.9,13.9
PRATTVILLE BAPTIST HOSPITAL,124 S MEMORIAL DR,PRATTVILLE,AL,36067,14.6,14.8,14.2
PICKENS COUNTY MEDICAL CENTER,241 ROBERT K WILSON,CARROLLTON,AL,35447,Not Available,12.6,12.4
BULLOCK COUNTY HOSPITAL,102 WEST CONECUH AVENUE,UNION SPRINGS,AL,36089,Not Available,12.3,12.1
BRYAN W WHITFIELD MEM HOSP INC,105 HIGHWAY 80 EAST,DEMOPOLIS,AL,36732,Not Available,11.7,9.1
MOBILE INFIRMARY,5 MOBILE INFIRMARY CIRCLE,MOBILE,AL,36652,19.3,10.7,12.5
"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",995 9TH AVENUE SOUTHWEST,BESSEMER,AL,35021,15.3,11.4,12.1
VAUGHAN REG MED CENTER PARKWAY CAMPUS,1015 MEDICAL CENTER PARKWAY,SELMA,AL,36701,14.7,12,14
MONROE COUNTY HOSPITAL,2016 SOUTH ALABAMA AVENUE,MONROEVILLE,AL,36461,Not Available,13,15.6
LAKELAND COMMUNITY HOSPITAL,42024 HIGHWAY 195 E     POST OFFICE BOX 780,HALEYVILLE,AL,35565,Not Available,13.6,10.7
TROY REGIONAL MEDICAL CENTER,1330 HIGHWAY 231 SOUTH,TROY,AL,36081,Not Available,11.2,11.1
JACKSON MEDICAL CENTER,220 HOSPITAL DRIVE,JACKSON,AL,36545,Not Available,12.3,9.3
NORTH BALDWIN INFIRMARY,1815 HAND AVENUE,BAY MINETTE,AL,36507,Not Available,11.5,14.6
ST VINCENT'S ST CLAIR,7063 VETERANS PARKWAY,PELL CITY,AL,35125,Not Available,10.8,11.4
CRESTWOOD MEDICAL CENTER,ONE HOSPITAL DR SE,HUNTSVILLE,AL,35801,13.3,13.8,10.4
COOPER GREEN MERCY HOSPITAL,1515 6TH AVENUE SOUTH,BIRMINGHAM,AL,35233,Not Available,Not Available,Not Available
HILL HOSPITAL OF SUMTER COUNTY,751 DERBY DRIVE,YORK,AL,36925,Not Available,Not Available,Not Available
BROOKWOOD MEDICAL CENTER,2010 BROOKWOOD MEDICAL CENTER DRIVE,BIRMINGHAM,AL,35209,16.5,13.5,13
SPRINGHILL MEDICAL CENTER,3719 DAUPHIN STREET,MOBILE,AL,36608,16,10.4,13.8
JACKSONVILLE MEDICAL CENTER,1701 SOUTH PELHAM ROAD,JACKSONVILLE,AL,36265,Not Available,16.4,19.2
EVERGREEN MEDICAL CENTER,101 CRESTVIEW AVENUE,EVERGREEN,AL,36401,Not Available,9.1,12
BAPTIST MEDICAL CENTER EAST,400 TAYLOR ROAD,MONTGOMERY,AL,36117,14.2,9.6,10.2
BIRMINGHAM VA MEDICAL CENTER,700 SOUTH 19TH STREET,BIRMINGHAM                    ,AL,35233,16.1,10.4,11
L V STABLER MEMORIAL HOSPITAL,29 L V STABLER DRIVE,GREENVILLE,AL,36037,Not Available,11.1,13
INFIRMARY WEST,5600 GIRBY RD,MOBILE,AL,36693,Not Available,12.5,13.1
SHOALS HOSPITAL,201 WEST AVALON AVENUE,MUSCLE SHOALS,AL,35661,Not Available,13.6,12.8
RUSSELLVILLE HOSPITAL,15155 HIGHWAY 43,RUSSELLVILLE,AL,35653,Not Available,14.8,11.5
COOSA VALLEY MEDICAL CENTER,315 W HICKORY ST,SYLACAUGA,AL,35150,15.2,11.7,11.4
JACK HUGHSTON MEMORIAL HOSPITAL,4401 RIVER CHASE DRIVE,PHENIX CITY,AL,36867,Not Available,10.8,10.9
ATMORE COMMUNITY HOSPITAL,401 MEDICAL PARK DRIVE,ATMORE,AL,36502,Not Available,10.8,13
VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTGOMERY,215 PERRY HILL ROAD,MONTGOMERY                    ,AL,36109,Not Available,12.2,11.3
TUSCALOOSA VA MEDICAL CENTER,3701 LOOP ROAD,TUSCALOOSA                    ,AL,35404,Not Available,Not Available,Not Available
WASHINGTON COUNTY HOSPITAL,14600 ST. STEPHENS AVENUE,CHATOM,AL,36518,Not Available,Not Available,Not Available
RED BAY HOSPITAL,211 HOSPITAL ROAD,RED BAY,AL,35582,Not Available,12.6,11.6
UNIV OF S AL CHILDREN'S & WOMEN'S HOS,1700 CENTER STREET,MOBILE,AL,36604,Not Available,Not Available,Not Available
PROVIDENCE ALASKA MEDICAL CENTER,BOX 196604,ANCHORAGE,AK,99519,13.4,12.4,10.5
MAT-SU REGIONAL MEDICAL CENTER,2500 SOUTH WOODWORTH LOOP,PALMER,AK,99645,17.7,11.4,12.1
BARTLETT REGIONAL HOSPITAL,3260 HOSPITAL DR,JUNEAU,AK,99801,Not Available,11.6,11.6
FAIRBANKS MEMORIAL HOSPITAL,1650 COWLES STREET,FAIRBANKS,AK,99701,15.5,15.6,13.4
ALASKA REGIONAL HOSPITAL,2801 DEBARR ROAD,ANCHORAGE,AK,99508,14.5,13.4,12.5
YUKON KUSKOKWIM DELTA REG HOSPITAL,PO BOX 287,BETHEL,AK,99559,Not Available,11.2,9.7
CENTRAL PENINSULA GENERAL HOSPITAL,250 HOSPITAL PLACE,SOLDOTNA,AK,99669,Not Available,11.6,13.8
ALASKA NATIVE MEDICAL CENTER,4315 DIPLOMACY DR,ANCHORAGE,AK,99508,15.7,11.6,15.5
