OrderID,CustomerID,EmployeeID,ShipperID,OrderDetailID,ProductID,Quantity,month
10259,13,4,3,33,21,10,2
10259,13,4,3,34,37,1,2
10260,55,4,1,35,41,16,2
10260,55,4,1,36,57,50,2
10260,55,4,1,37,62,15,2
10260,55,4,1,38,70,21,2
10261,61,4,2,39,21,20,2
10261,61,4,2,40,35,20,2
10262,65,8,3,41,5,12,2
10262,65,8,3,42,7,15,2
10262,65,8,3,43,56,2,2
10263,20,9,3,44,16,60,2
10263,20,9,3,45,24,28,2
10263,20,9,3,46,30,60,2
10263,20,9,3,47,74,36,2
10264,24,6,3,48,2,35,2
10264,24,6,3,49,41,25,2
10265,7,2,1,50,17,30,2
10265,7,2,1,51,70,20,2
10266,87,3,3,52,12,12,2
10267,25,4,1,53,40,50,2
10267,25,4,1,54,59,70,2
10267,25,4,1,55,76,15,2
10268,33,8,3,56,29,10,2
10268,33,8,3,57,72,4,2
10269,89,5,1,58,33,60,2
10269,89,5,1,59,72,20,2
10270,87,1,1,60,36,30,2
10270,87,1,1,61,43,25,2
10271,75,6,2,62,33,24,2
