OrderID,CustomerID,EmployeeID,ShipperID,OrderDetailID,ProductID,Quantity,month
10248,90,5,3,2,42,10,1
10248,90,5,3,3,72,5,1
10249,81,6,1,4,14,9,1
10249,81,6,1,5,51,40,1
10250,34,4,2,6,41,10,1
10250,34,4,2,7,51,35,1
10250,34,4,2,8,65,15,1
10251,84,3,1,9,22,6,1
10251,84,3,1,10,57,15,1
10251,84,3,1,11,65,20,1
10252,76,4,2,12,20,40,1
10252,76,4,2,13,33,25,1
10252,76,4,2,14,60,40,1
10253,34,3,2,15,31,20,1
10253,34,3,2,16,39,42,1
10253,34,3,2,17,49,40,1
10254,14,5,2,18,24,15,1
10254,14,5,2,19,55,21,1
10254,14,5,2,20,74,21,1
10255,68,9,3,21,2,20,1
10255,68,9,3,22,16,35,1
10255,68,9,3,23,36,25,1
10255,68,9,3,24,59,30,1
10256,88,3,2,25,53,15,1
10256,88,3,2,26,77,12,1
10257,35,4,3,27,27,25,1
10257,35,4,3,28,39,6,1
10257,35,4,3,29,77,15,1
10258,20,1,1,30,2,50,1
10258,20,1,1,31,5,65,1
