OrderID,CustomerID,EmployeeID,ShipperID,OrderDetailID,ProductID,Quantity,month
10306,69,1,3,157,30,10,6
10306,69,1,3,158,53,10,6
10306,69,1,3,159,54,5,6
10307,48,2,2,160,62,10,6
10307,48,2,2,161,68,3,6
10308,2,7,3,162,69,1,6
10308,2,7,3,163,70,5,6
10309,37,3,1,164,4,20,6
10309,37,3,1,165,6,30,6
10309,37,3,1,166,42,2,6
10309,37,3,1,167,43,20,6
10309,37,3,1,168,71,3,6
10310,77,8,2,169,16,10,6
10310,77,8,2,170,62,5,6
10311,18,1,3,171,42,6,6
10311,18,1,3,172,69,7,6
10312,86,2,2,173,28,4,6
10312,86,2,2,174,43,24,6
10312,86,2,2,175,53,20,6
10312,86,2,2,176,75,10,6
10313,63,2,2,177,36,12,6
10314,65,1,2,178,32,40,6
10314,65,1,2,179,58,30,6
10314,65,1,2,180,62,25,6
10315,38,4,2,181,34,14,6
10315,38,4,2,182,70,30,6
10316,65,1,3,183,41,10,6
10316,65,1,3,184,62,70,6
10317,48,6,1,185,1,20,6
10318,38,8,2,186,41,20,6
