OrderID,CustomerID,EmployeeID,ShipperID,OrderDetailID,ProductID,Quantity,month
10272,65,6,2,64,31,40,3
10272,65,6,2,65,72,24,3
10273,63,3,3,66,10,24,3
10273,63,3,3,67,31,15,3
10273,63,3,3,68,33,20,3
10273,63,3,3,69,40,60,3
10273,63,3,3,70,76,33,3
10274,85,6,1,71,71,20,3
10274,85,6,1,72,72,7,3
10275,49,1,1,73,24,12,3
10275,49,1,1,74,59,6,3
10276,80,8,3,75,10,15,3
10276,80,8,3,76,13,10,3
10277,52,2,3,77,28,20,3
10277,52,2,3,78,62,12,3
10278,5,8,2,79,44,16,3
10278,5,8,2,80,59,15,3
10278,5,8,2,81,63,8,3
10278,5,8,2,82,73,25,3
10279,44,8,2,83,17,15,3
10280,5,2,1,84,24,12,3
10280,5,2,1,85,55,20,3
10280,5,2,1,86,75,30,3
10281,69,4,1,87,19,1,3
10281,69,4,1,88,24,6,3
10281,69,4,1,89,35,4,3
10282,69,4,1,90,30,6,3
10282,69,4,1,91,57,2,3
10283,46,3,3,92,15,20,3
10283,46,3,3,93,19,18,3
