OrderID,CustomerID,EmployeeID,ShipperID,OrderDetailID,ProductID,Quantity,month
10364,19,1,1,312,69,30,11
10364,19,1,1,313,71,5,11
10365,3,3,2,314,11,24,11
10366,29,8,2,315,65,5,11
10366,29,8,2,316,77,5,11
10367,83,7,3,317,34,36,11
10367,83,7,3,318,54,18,11
10367,83,7,3,319,65,15,11
10367,83,7,3,320,77,7,11
10368,20,2,2,321,21,5,11
10368,20,2,2,322,28,13,11
10368,20,2,2,323,57,25,11
10368,20,2,2,324,64,35,11
10369,75,8,2,325,29,20,11
10369,75,8,2,326,56,18,11
10370,14,6,2,327,1,15,11
10370,14,6,2,328,64,30,11
10370,14,6,2,329,74,20,11
10371,41,1,1,330,36,6,11
10372,62,5,2,331,20,12,11
10372,62,5,2,332,38,40,11
10372,62,5,2,333,60,70,11
10372,62,5,2,334,72,42,11
10373,37,4,3,335,58,80,11
10373,37,4,3,336,71,50,11
10374,91,1,3,337,31,30,11
10374,91,1,3,338,58,15,11
10375,36,3,2,339,14,15,11
10375,36,3,2,340,54,10,11
10376,51,1,2,341,31,42,11
