OrderID,CustomerID,EmployeeID,ShipperID,OrderDetailID,ProductID,Quantity,month
10353,59,7,3,281,11,12,10
10353,59,7,3,282,38,50,10
10354,58,8,3,283,1,12,10
10354,58,8,3,284,29,4,10
10355,4,6,1,285,24,25,10
10355,4,6,1,286,57,25,10
10356,86,6,2,287,31,30,10
10356,86,6,2,288,55,12,10
10356,86,6,2,289,69,20,10
10357,46,1,3,290,10,30,10
10357,46,1,3,291,26,16,10
10357,46,1,3,292,60,8,10
10358,41,5,1,293,24,10,10
10358,41,5,1,294,34,10,10
10358,41,5,1,295,36,20,10
10359,72,5,3,296,16,56,10
10359,72,5,3,297,31,70,10
10359,72,5,3,298,60,80,10
10360,7,4,3,299,28,30,10
10360,7,4,3,300,29,35,10
10360,7,4,3,301,38,10,10
10360,7,4,3,302,49,35,10
10360,7,4,3,303,54,28,10
10361,63,1,2,304,39,54,10
10361,63,1,2,305,60,55,10
10362,9,3,1,306,25,50,10
10362,9,3,1,307,51,20,10
10362,9,3,1,308,54,24,10
10363,17,4,3,309,31,20,10
10363,17,4,3,310,75,12,10
