OrderID,CustomerID,EmployeeID,ShipperID,OrderDetailID,ProductID,Quantity,month
10341,73,7,3,250,33,8,9
10341,73,7,3,251,59,9,9
10342,25,4,2,252,2,24,9
10342,25,4,2,253,31,56,9
10342,25,4,2,254,36,40,9
10342,25,4,2,255,55,40,9
10343,44,4,1,256,64,50,9
10343,44,4,1,257,68,4,9
10343,44,4,1,258,76,15,9
10344,89,4,2,259,4,35,9
10344,89,4,2,260,8,70,9
10345,63,2,2,261,8,70,9
10345,63,2,2,262,19,80,9
10345,63,2,2,263,42,9,9
10346,65,3,3,264,17,36,9
10346,65,3,3,265,56,20,9
10347,21,4,3,266,25,10,9
10347,21,4,3,267,39,50,9
10347,21,4,3,268,40,4,9
10347,21,4,3,269,75,6,9
10348,86,4,2,270,1,15,9
10348,86,4,2,271,23,25,9
10349,75,7,1,272,54,24,9
10350,41,6,2,273,50,15,9
10350,41,6,2,274,69,18,9
10351,20,1,1,275,38,20,9
10351,20,1,1,276,41,13,9
10351,20,1,1,277,44,77,9
10351,20,1,1,278,65,10,9
10352,28,3,3,279,24,10,9
